state,date,crop_type,production,planted_area,yield,Total_Rainfall_mm
Johor,2019,coconut,99375.1,10762.9,9.233,2174.525
Johor,2019,fruits,543387.3,41504.2,13.092,2174.525
Johor,2019,paddy,7704,2555,3.015,2174.525
Johor,2020,coconut,106723.2,11887,8.978,2458.8
Johor,2020,fruits,557842.7,44779,12.458,2458.8
Johor,2020,paddy,7502,2547,2.945,2458.8
Johor,2021,coconut,118278.2,12380.5,9.554,2635.2
Johor,2021,fruits,631711.1,50231.6,12.576,2635.2
Johor,2021,paddy,9031,2505,3.605,2635.2
Kedah,2019,coconut,5131.3,995.7,5.153,2296.95
Kedah,2019,fruits,71440.5,11242,6.355,2296.95
Kedah,2019,paddy,859018,214252,4.009,2296.95
Kedah,2020,coconut,10046.3,2155.1,4.662,2570
Kedah,2020,fruits,61839.5,11175.4,5.534,2570
Kedah,2020,paddy,914200,214328,4.265,2570
Kedah,2021,coconut,10185.3,1854.4,5.493,2272
Kedah,2021,fruits,73092.9,9733.8,7.509,2272
Kedah,2021,paddy,906692,214880,4.22,2272
Kelantan,2019,coconut,77807.1,9978.7,7.797,1480.3
Kelantan,2019,fruits,139396.2,19573.3,7.122,1480.3
Kelantan,2019,paddy,268831,71240,3.774,1480.3
Kelantan,2020,coconut,79953.4,10398.9,7.689,3189.733
Kelantan,2020,fruits,141461.8,20712.3,6.83,3189.733
Kelantan,2020,paddy,305675,73717,4.147,3189.733
Kelantan,2021,coconut,76673.8,10340.3,7.415,2796.7
Kelantan,2021,fruits,145161.2,19759.7,7.346,2796.7
Kelantan,2021,paddy,333868,74972,4.453,2796.7
Malacca,2019,coconut,9195.8,1530.3,6.009,1616.8
Malacca,2019,fruits,15435.1,3025.4,5.102,1616.8
Malacca,2019,paddy,9323,3360,2.775,1616.8
Malacca,2020,coconut,19376.2,2923.4,6.628,1712.2
Malacca,2020,fruits,24708,4539.8,5.443,1712.2
Malacca,2020,paddy,8550,3360,2.545,1712.2
Malacca,2021,coconut,14040.2,2189.3,6.413,2506
Malacca,2021,fruits,19133.9,2861.9,6.686,2506
Malacca,2021,paddy,10287,3462,2.971,2506
Negeri Sembilan,2019,coconut,12768.3,1290.3,9.896,3433.6
Negeri Sembilan,2019,fruits,64512,5552.7,11.618,3433.6
Negeri Sembilan,2019,paddy,7670,1936,3.962,3433.6
Negeri Sembilan,2020,coconut,12841.4,1346.7,9.535,4301.3
Negeri Sembilan,2020,fruits,66524.5,5384.8,12.354,4301.3
Negeri Sembilan,2020,paddy,8942,1989,4.496,4301.3
Negeri Sembilan,2021,coconut,13856.9,1500.5,9.235,4127.5
Negeri Sembilan,2021,fruits,68549.3,5572,12.302,4127.5
Negeri Sembilan,2021,paddy,4662,1480,3.15,4127.5
Pahang,2019,coconut,24263.2,4205.5,5.769,1737.62
Pahang,2019,fruits,200044.8,22760.7,8.789,1737.62
Pahang,2019,paddy,31234,12435,2.512,1737.62
Pahang,2020,coconut,26915.8,3997.2,6.734,2262.12
Pahang,2020,fruits,201494.6,24836.8,8.113,2262.12
Pahang,2020,paddy,35524,10572,3.36,2262.12
Pahang,2021,coconut,28180.5,3433,8.209,2641.875
Pahang,2021,fruits,244209,25679.1,9.51,2641.875
Pahang,2021,paddy,50866,13639,3.729,2641.875
Penang,2019,coconut,263.1,40.2,6.545,1949.55
Penang,2019,fruits,24072.2,2542.9,9.466,1949.55
Penang,2019,paddy,128127,25564,5.012,1949.55
Penang,2020,coconut,245.6,45,5.458,1996
Penang,2020,fruits,23743.2,2619.5,9.064,1996
Penang,2020,paddy,121594,24210,5.022,1996
Penang,2021,coconut,246.5,35.7,6.905,2107.5
Penang,2021,fruits,22688.1,2525.4,8.984,2107.5
Penang,2021,paddy,136919,24210,5.655,2107.5
Perak,2019,coconut,78644.3,7594.1,10.356,2083.833
Perak,2019,fruits,116374.2,11441.9,10.171,2083.833
Perak,2019,paddy,257605,81380,3.165,2083.833
Perak,2020,coconut,71588.6,7522.8,9.516,2479.167
Perak,2020,fruits,97985.2,10310.8,9.503,2479.167
Perak,2020,paddy,232437,76201,3.05,2479.167
Perak,2021,coconut,81288.4,7568.2,10.741,2336.867
Perak,2021,fruits,121457.8,11439.3,10.618,2336.867
Perak,2021,paddy,244397,74949,3.261,2336.867
Perlis,2019,coconut,3405,429.6,7.926,1553.8
Perlis,2019,fruits,10580.9,2895.5,3.654,1553.8
Perlis,2019,paddy,209828,51612,4.065,1553.8
Perlis,2020,coconut,3360,400,8.4,2195
Perlis,2020,fruits,8631.3,1957.1,4.41,2195
Perlis,2020,paddy,203275,51598,3.94,2195
Perlis,2021,coconut,3133.8,391.1,8.013,2081
Perlis,2021,fruits,6575.4,1485.6,4.426,2081
Perlis,2021,paddy,256034,60478,4.234,2081
Sabah,2019,coconut,55337.1,17041,3.247,1749.733
Sabah,2019,fruits,127771.1,18484,6.913,1749.733
Sabah,2019,paddy,112569,43546,2.585,1749.733
Sabah,2020,coconut,57392.1,17274.7,3.322,2372.717
Sabah,2020,fruits,123396.6,19112.5,6.456,2372.717
Sabah,2020,paddy,117846,40446,2.914,2372.717
Sabah,2021,coconut,59214.8,18257.7,3.243,2711.867
Sabah,2021,fruits,123132.2,20301.3,6.065,2711.867
Sabah,2021,paddy,112284,38732,2.899,2711.867
Sarawak,2019,coconut,54023.3,12401.1,4.356,2314.863
Sarawak,2019,fruits,160713.7,35769.8,4.493,2314.863
Sarawak,2019,paddy,215491,109261,1.972,2314.863
Sarawak,2020,coconut,51490.3,12003.3,4.29,3961.35
Sarawak,2020,fruits,174313.9,36868.7,4.728,3961.35
Sarawak,2020,paddy,167588.9,90865.2,1.844,3961.35
Sarawak,2021,coconut,24139.1,11947.8,2.02,3991.925
Sarawak,2021,fruits,145573,36814.1,3.954,3991.925
Sarawak,2021,paddy,148903,83143,1.791,3991.925
Selangor,2019,coconut,99760.7,15075.7,6.617,2895.833
Selangor,2019,fruits,29414.3,2038.2,14.432,2895.833
Selangor,2019,paddy,174088,36602,4.756,2895.833
Selangor,2020,coconut,105129.1,10239.1,10.267,3139.2
Selangor,2020,fruits,33288.1,2096.1,15.881,3139.2
Selangor,2020,paddy,159535,36004,4.431,3139.2
Selangor,2021,coconut,107558.9,9119.7,11.794,2812.1
Selangor,2021,fruits,35605.4,5288.1,6.733,2812.1
Selangor,2021,paddy,155631,35885,4.337,2812.1
Terengganu,2019,coconut,16144.2,4991.9,3.234,1603.5
Terengganu,2019,fruits,57368.9,7579.6,7.569,1603.5
Terengganu,2019,paddy,71382,18341,3.892,1603.5
Terengganu,2020,coconut,15513.6,4657.9,3.331,3238.8
Terengganu,2020,fruits,34879.6,7399.6,4.714,3238.8
Terengganu,2020,paddy,73723,19071,3.866,3238.8
Terengganu,2021,coconut,20120.7,2359.8,8.526,2518.4
Terengganu,2021,fruits,49649.6,7652.9,6.488,2518.4
Terengganu,2021,paddy,72023,19601,3.674,2518.4